target_measurement	structure_features
P08912_pKi	FP19,FP30,FP36,FP49,FP51,FP60,FP61,FP62,FP66,FP67,FP73,FP75,FP77,FP79,FP81,FP82,FP83,FP86,FP88,FP90,FP91,FP92,FP96,FP97,FP98,FP104,FP105,FP108,FP109,FP110,FP111,FP117,FP118,FP121,FP125,FP127,FP129,FP138,FP139,FP141,FP142,FP143,FP144,FP145,FP147,FP150,FP151,FP154,FP156,FP159,FP162,FP163
P08913_pIC50	FP38,FP45,FP77,FP78,FP80,FP93,FP108,FP112,FP119,FP123,FP125
P09038_pKd	FP53,FP79,FP81,FP85,FP90,FP95,FP96,FP115,FP120,FP122,FP142
P09211_pIC50	FP22,FP34,FP42,FP79,FP87,FP88,FP100,FP103,FP107,FP111,FP123,FP127,FP133,FP134,FP143,FP144,FP145,FP150,FP157
P09237_pIC50	FP13,FP17,FP19,FP21,FP24,FP25,FP29,FP37,FP43,FP47,FP48,FP52,FP53,FP54,FP62,FP68,FP70,FP71,FP72,FP74,FP76,FP78,FP79,FP80,FP83,FP84,FP85,FP86,FP89,FP91,FP92,FP94,FP96,FP97,FP98,FP100,FP102,FP104,FP105,FP106,FP108,FP110,FP114,FP115,FP116,FP117,FP118,FP119,FP120,FP121,FP122,FP123,FP124,FP125,FP135,FP136,FP137,FP139,FP141,FP142,FP144,FP145,FP148,FP149,FP150,FP151,FP152,FP154,FP155,FP156,FP157,FP158,FP159,FP161,FP164
P09467_pIC50	FP36,FP43,FP46,FP47,FP57,FP62,FP72,FP79,FP80,FP81,FP84,FP85,FP88,FP95,FP98,FP103,FP105,FP122,FP125,FP131,FP140,FP145,FP147,FP149,FP152,FP153,FP154,FP155,FP160
P09874_pIC50	FP2,FP13,FP16,FP17,FP24,FP25,FP27,FP34,FP37,FP38,FP52,FP54,FP56,FP59,FP62,FP63,FP64,FP65,FP68,FP75,FP79,FP81,FP83,FP84,FP85,FP86,FP89,FP90,FP91,FP92,FP94,FP95,FP96,FP97,FP99,FP100,FP101,FP105,FP106,FP109,FP110,FP111,FP117,FP118,FP120,FP121,FP122,FP124,FP125,FP128,FP129,FP131,FP133,FP137,FP138,FP142,FP144,FP145,FP147,FP148,FP151,FP152,FP153,FP154,FP155,FP156,FP158,FP161,FP163,FP164,FP165
P09917_pIC50	FP13,FP24,FP36,FP43,FP52,FP53,FP54,FP57,FP59,FP62,FP63,FP64,FP70,FP71,FP72,FP74,FP75,FP77,FP80,FP81,FP82,FP83,FP84,FP88,FP91,FP92,FP93,FP94,FP95,FP97,FP98,FP102,FP105,FP109,FP110,FP111,FP113,FP114,FP115,FP117,FP120,FP123,FP124,FP125,FP126,FP127,FP129,FP130,FP133,FP135,FP136,FP137,FP139,FP143,FP145,FP146,FP149,FP150,FP152,FP153,FP154,FP155,FP157,FP159
P09958_pKi	FP38,FP52,FP74,FP75,FP79,FP82,FP83,FP85,FP89,FP91,FP94,FP95,FP97,FP111,FP121,FP122,FP124,FP126,FP128,FP130,FP137,FP139,FP148,FP150,FP152,FP157
P09960_pIC50	FP36,FP47,FP65,FP72,FP79,FP80,FP81,FP85,FP88,FP95,FP100,FP104,FP105,FP106,FP109,FP110,FP111,FP114,FP117,FP122,FP123,FP125,FP128,FP129,FP131,FP133,FP135,FP138,FP139,FP142,FP145,FP146,FP147,FP148,FP151,FP153,FP154,FP156,FP158,FP159
P0DMS8_pIC50	FP23,FP36,FP38,FP53,FP81,FP88,FP106,FP108,FP110,FP115,FP117,FP123,FP125,FP128,FP129,FP139,FP141,FP144,FP145,FP151
P10275_pIC50	FP26,FP38,FP41,FP42,FP45,FP47,FP50,FP52,FP53,FP59,FP62,FP64,FP65,FP66,FP68,FP69,FP70,FP72,FP76,FP77,FP78,FP79,FP80,FP81,FP88,FP89,FP94,FP95,FP96,FP97,FP98,FP99,FP103,FP105,FP106,FP107,FP110,FP112,FP115,FP118,FP119,FP121,FP123,FP124,FP125,FP126,FP127,FP129,FP131,FP132,FP134,FP135,FP136,FP137,FP139,FP140,FP143,FP144,FP146,FP147,FP151,FP154,FP156,FP158,FP160,FP161,FP162
P10323_pIC50	FP94,FP97,FP124
P10415_pEC50	FP25,FP32,FP33,FP36,FP45,FP47,FP51,FP62,FP76,FP78,FP80,FP81,FP88,FP106,FP113,FP131,FP139,FP141,FP145,FP146,FP154,FP157,FP159
P10721_pIC50	FP8,FP11,FP22,FP34,FP52,FP53,FP62,FP65,FP66,FP69,FP77,FP78,FP80,FP82,FP83,FP87,FP90,FP91,FP94,FP96,FP97,FP101,FP103,FP105,FP106,FP110,FP112,FP114,FP115,FP116,FP117,FP119,FP121,FP124,FP133,FP135,FP141,FP142,FP144,FP149,FP150,FP151,FP152,FP154,FP155,FP156,FP159,FP161,FP164
P10826_pKi	FP42,FP93,FP109,FP134,FP153,FP155
P10828_pIC50	FP93,FP98,FP103,FP109,FP114,FP115,FP116,FP118,FP125,FP131,FP145
P11137_pIC50	FP42,FP52,FP69,FP83,FP96,FP105,FP107,FP124,FP134
P11229_pEC50	FP33,FP36,FP37,FP52,FP54,FP58,FP65,FP67,FP77,FP79,FP82,FP83,FP86,FP88,FP90,FP91,FP93,FP94,FP96,FP97,FP98,FP104,FP106,FP110,FP117,FP120,FP124,FP125,FP126,FP127,FP130,FP131,FP132,FP133,FP135,FP136,FP139,FP143,FP144,FP150,FP151,FP152,FP154,FP155,FP157,FP159,FP162
P11309_pIC50	FP17,FP25,FP28,FP37,FP38,FP41,FP42,FP43,FP45,FP49,FP52,FP54,FP57,FP62,FP65,FP69,FP70,FP72,FP74,FP75,FP77,FP78,FP79,FP83,FP84,FP86,FP87,FP89,FP91,FP92,FP93,FP94,FP96,FP98,FP104,FP105,FP106,FP107,FP110,FP111,FP117,FP119,FP120,FP121,FP123,FP124,FP125,FP129,FP130,FP131,FP133,FP134,FP135,FP136,FP140,FP141,FP142,FP144,FP145,FP146,FP150,FP151,FP152,FP154,FP156,FP157,FP158,FP159,FP161,FP164
P11362_pIC50	FP3,FP4,FP5,FP6,FP7,FP9,FP10,FP12,FP14,FP15,FP21,FP25,FP26,FP36,FP37,FP38,FP41,FP42,FP43,FP46,FP47,FP50,FP51,FP52,FP53,FP54,FP55,FP56,FP57,FP58,FP59,FP60,FP61,FP62,FP63,FP64,FP65,FP67,FP68,FP69,FP70,FP72,FP73,FP75,FP76,FP78,FP79,FP80,FP81,FP82,FP83,FP85,FP86,FP88,FP90,FP91,FP92,FP93,FP94,FP95,FP96,FP97,FP98,FP99,FP101,FP105,FP106,FP109,FP110,FP111,FP113,FP116,FP117,FP118,FP119,FP120,FP121,FP122,FP124,FP125,FP129,FP131,FP132,FP137,FP138,FP139,FP142,FP144,FP145,FP148,FP149,FP150,FP151,FP152,FP154,FP156,FP159,FP160,FP162,FP163,FP164,FP165
P11387_pEC50	FP13,FP62,FP85,FP100,FP104,FP114,FP130,FP160
P11473_pIC50	FP34,FP50,FP54,FP76,FP99,FP136
P11597_pIC50	FP23,FP25,FP37,FP41,FP42,FP43,FP57,FP62,FP65,FP72,FP74,FP75,FP83,FP85,FP86,FP87,FP91,FP95,FP96,FP97,FP98,FP100,FP103,FP105,FP106,FP107,FP108,FP109,FP113,FP116,FP118,FP120,FP121,FP122,FP123,FP125,FP128,FP129,FP133,FP134,FP137,FP138,FP141,FP144,FP147,FP149,FP150,FP152,FP154,FP159,FP160
P11802_pIC50	FP25,FP37,FP38,FP45,FP47,FP52,FP53,FP54,FP62,FP65,FP69,FP72,FP77,FP78,FP80,FP83,FP86,FP87,FP89,FP90,FP94,FP96,FP97,FP101,FP103,FP105,FP106,FP118,FP119,FP120,FP124,FP127,FP131,FP133,FP135,FP136,FP138,FP143,FP144,FP146,FP150,FP159
P12821_pIC50	FP19,FP27,FP29,FP37,FP38,FP41,FP42,FP46,FP47,FP48,FP53,FP54,FP64,FP65,FP68,FP69,FP72,FP74,FP77,FP79,FP81,FP82,FP83,FP84,FP85,FP86,FP87,FP88,FP90,FP92,FP96,FP100,FP102,FP103,FP105,FP106,FP107,FP108,FP112,FP115,FP116,FP121,FP122,FP123,FP125,FP126,FP127,FP129,FP130,FP132,FP133,FP134,FP138,FP140,FP141,FP142,FP143,FP144,FP145,FP148,FP149,FP150,FP151,FP153,FP157,FP162,FP163,FP165
P12931_pIC50	FP19,FP22,FP25,FP29,FP37,FP41,FP43,FP45,FP48,FP52,FP53,FP54,FP62,FP64,FP65,FP66,FP69,FP70,FP74,FP75,FP78,FP80,FP82,FP84,FP85,FP86,FP87,FP89,FP90,FP91,FP92,FP93,FP94,FP97,FP98,FP102,FP103,FP104,FP105,FP106,FP107,FP110,FP112,FP113,FP114,FP117,FP119,FP121,FP122,FP124,FP126,FP127,FP130,FP131,FP133,FP134,FP135,FP136,FP138,FP139,FP140,FP142,FP143,FP144,FP149,FP150,FP151,FP152,FP153,FP154,FP155,FP157,FP159,FP160,FP164
P13497_pIC50	FP23,FP38,FP53,FP54,FP57,FP65,FP77,FP83,FP96,FP104,FP105,FP109,FP118,FP120,FP121,FP123,FP125,FP126,FP128,FP129,FP130,FP132,FP137,FP144,FP147,FP157
P13569_pIC50	FP57,FP72,FP95,FP152
P13612_pIC50	FP14,FP24,FP25,FP28,FP36,FP38,FP43,FP51,FP52,FP53,FP54,FP55,FP57,FP58,FP59,FP60,FP61,FP64,FP67,FP72,FP73,FP74,FP78,FP81,FP82,FP83,FP84,FP85,FP88,FP89,FP90,FP91,FP92,FP95,FP96,FP97,FP99,FP101,FP102,FP104,FP105,FP108,FP110,FP111,FP112,FP117,FP119,FP123,FP124,FP125,FP127,FP130,FP131,FP133,FP136,FP139,FP140,FP141,FP143,FP144,FP145,FP146,FP147,FP148,FP151,FP154,FP155,FP157,FP162,FP163,FP165
P13866_pIC50	FP17,FP19,FP21,FP22,FP37,FP38,FP41,FP52,FP53,FP54,FP57,FP62,FP65,FP69,FP70,FP74,FP75,FP77,FP79,FP80,FP82,FP85,FP86,FP87,FP89,FP90,FP91,FP92,FP94,FP95,FP96,FP97,FP98,FP100,FP103,FP104,FP105,FP106,FP107,FP108,FP110,FP111,FP113,FP116,FP117,FP118,FP122,FP123,FP124,FP125,FP126,FP127,FP128,FP129,FP130,FP131,FP132,FP133,FP134,FP135,FP137,FP138,FP139,FP142,FP143,FP144,FP145,FP147,FP148,FP149,FP151,FP154,FP158
P14061_pIC50	FP36,FP69,FP81,FP83,FP85,FP86,FP88,FP91,FP93,FP96,FP98,FP115,FP122,FP137,FP144,FP148,FP149,FP151,FP155,FP160
P14555_pIC50	FP37,FP65,FP72,FP75,FP83,FP84,FP85,FP91,FP92,FP93,FP95,FP96,FP97,FP100,FP104,FP106,FP109,FP110,FP114,FP115,FP116,FP117,FP122,FP123,FP125,FP128,FP129,FP132,FP133,FP135,FP136,FP138,FP140,FP142,FP144,FP145,FP146,FP148,FP150,FP151,FP153,FP158,FP162,FP163
P14780_pIC50	FP13,FP23,FP24,FP45,FP46,FP49,FP50,FP54,FP56,FP57,FP62,FP63,FP65,FP68,FP70,FP71,FP72,FP75,FP76,FP78,FP79,FP80,FP82,FP84,FP85,FP89,FP91,FP92,FP93,FP97,FP99,FP100,FP101,FP104,FP105,FP108,FP109,FP110,FP111,FP112,FP113,FP117,FP119,FP122,FP123,FP125,FP126,FP127,FP131,FP136,FP137,FP139,FP140,FP142,FP143,FP145,FP146,FP148,FP151,FP152,FP153,FP154,FP157,FP158
P14867_pEC50	FP104,FP105,FP116,FP129
P14902_pKi	FP47,FP81,FP88,FP97,FP98,FP125,FP152,FP155,FP158
P15056_pKd	FP105,FP133,FP135
P15090_pIC50	FP8,FP11,FP25,FP47,FP62,FP64,FP72,FP81,FP85,FP88,FP90,FP91,FP97,FP118,FP127,FP133,FP143,FP147,FP150
P15121_pIC50	FP19,FP24,FP32,FP33,FP36,FP38,FP42,FP47,FP49,FP51,FP53,FP56,FP59,FP60,FP61,FP62,FP63,FP64,FP65,FP66,FP69,FP70,FP73,FP74,FP75,FP77,FP78,FP80,FP81,FP82,FP84,FP86,FP87,FP88,FP89,FP91,FP92,FP93,FP95,FP97,FP99,FP100,FP103,FP104,FP107,FP110,FP111,FP112,FP113,FP114,FP116,FP117,FP119,FP120,FP122,FP123,FP125,FP126,FP128,FP129,FP133,FP134,FP135,FP138,FP140,FP142,FP147,FP148,FP151,FP152,FP156,FP158,FP159,FP160,FP161
P15144_pIC50	FP37,FP43,FP62,FP74,FP95,FP100,FP105,FP111,FP123,FP135,FP140,FP153
P15538_pIC50	FP38,FP52,FP77,FP79,FP83,FP85,FP92,FP94,FP96,FP100,FP105,FP110,FP111,FP114,FP117,FP120,FP124,FP128,FP133,FP135,FP142,FP147,FP153,FP154,FP155
P16083_pIC50	FP38,FP43,FP46,FP50,FP65,FP75,FP76,FP77,FP78,FP79,FP80,FP82,FP83,FP84,FP87,FP90,FP96,FP97,FP98,FP99,FP100,FP103,FP104,FP105,FP111,FP119,FP120,FP121,FP127,FP136,FP143,FP144,FP147,FP149,FP150,FP151,FP152,FP153,FP154,FP155,FP159
P16109_pIC50	FP54,FP65,FP72,FP82,FP90,FP91,FP93,FP95,FP98,FP99,FP104,FP105,FP109,FP111,FP114,FP115,FP121,FP132,FP137,FP153,FP156,FP161
P16455_pIC50	FP36,FP43,FP46,FP78,FP81,FP87,FP88,FP107,FP111,FP122,FP125,FP129,FP134,FP148,FP160
P16581_pIC50	FP34,FP35,FP36,FP44,FP47,FP53,FP57,FP59,FP64,FP65,FP81,FP88,FP89,FP90,FP95,FP98,FP99,FP105,FP110,FP121,FP123,FP125,FP126,FP127,FP135,FP137,FP142,FP143,FP150,FP152,FP154,FP164,FP166
P17252_pKi	FP32,FP33,FP45,FP50,FP51,FP55,FP57,FP58,FP59,FP60,FP61,FP64,FP65,FP66,FP67,FP72,FP73,FP75,FP76,FP81,FP82,FP83,FP86,FP88,FP89,FP90,FP91,FP92,FP95,FP96,FP98,FP99,FP102,FP104,FP105,FP110,FP111,FP112,FP120,FP121,FP123,FP126,FP127,FP129,FP130,FP131,FP132,FP136,FP138,FP140,FP141,FP143,FP149,FP150,FP151,FP152,FP159,FP161
P17612_pIC50	FP8,FP11,FP25,FP43,FP66,FP72,FP74,FP76,FP77,FP78,FP82,FP84,FP89,FP90,FP92,FP93,FP99,FP105,FP108,FP110,FP112,FP113,FP117,FP119,FP123,FP126,FP128,FP129,FP131,FP132,FP136,FP139,FP140,FP141,FP144,FP146,FP149,FP152,FP154,FP155,FP157,FP159,FP160
P17706_pIC50	FP32,FP33,FP38,FP39,FP40,FP42,FP48,FP54,FP59,FP64,FP66,FP69,FP79,FP89,FP92,FP94,FP105,FP107,FP108,FP110,FP111,FP113,FP116,FP117,FP126,FP127,FP131,FP134,FP135,FP138,FP143,FP150,FP154,FP157
P18031_pIC50	FP13,FP14,FP21,FP22,FP23,FP24,FP25,FP27,FP28,FP29,FP32,FP36,FP38,FP42,FP43,FP46,FP47,FP48,FP49,FP50,FP52,FP54,FP56,FP57,FP62,FP63,FP65,FP66,FP69,FP70,FP72,FP74,FP76,FP77,FP79,FP80,FP81,FP83,FP87,FP88,FP89,FP90,FP92,FP95,FP96,FP97,FP99,FP100,FP104,FP105,FP106,FP107,FP108,FP109,FP110,FP111,FP113,FP114,FP115,FP116,FP117,FP118,FP120,FP121,FP123,FP126,FP127,FP131,FP132,FP133,FP134,FP135,FP137,FP139,FP140,FP141,FP142,FP143,FP147,FP149,FP153,FP155,FP156,FP158,FP160,FP161
P18084_pIC50	FP14,FP36,FP53,FP54,FP62,FP65,FP67,FP80,FP81,FP83,FP88,FP95,FP96,FP105,FP112,FP113,FP115,FP118,FP120,FP124,FP129,FP132,FP133,FP136,FP141,FP147,FP149,FP150,FP160
P18405_pIC50	FP26,FP45,FP50,FP76,FP82,FP86,FP90,FP96,FP104,FP105,FP108,FP118,FP128,FP131,FP132,FP147,FP149,FP150
P19438_pIC50	FP46,FP104,FP105,FP113,FP123,FP132,FP136,FP139,FP155
P19634_pIC50	FP38,FP42,FP52,FP57,FP62,FP70,FP72,FP85,FP86,FP87,FP90,FP91,FP94,FP98,FP103,FP105,FP107,FP112,FP124,FP125,FP129,FP130,FP133,FP134,FP135,FP136,FP138,FP144,FP145,FP150,FP151,FP155
P19793_pIC50	FP32,FP33,FP74,FP87,FP96,FP100,FP104,FP105,FP107,FP108,FP109,FP110,FP111,FP113,FP117,FP118,FP126,FP127,FP129,FP131,FP132,FP133,FP141,FP143,FP146,FP149,FP150,FP151,FP152,FP153
P20292_pIC50	FP66,FP95,FP97,FP98,FP102,FP103,FP105,FP112,FP114,FP128,FP136,FP151
P20309_pKi	FP19,FP22,FP50,FP57,FP62,FP66,FP76,FP86,FP91,FP93,FP95,FP97,FP105,FP106,FP109,FP110,FP111,FP112,FP114,FP115,FP117,FP123,FP125,FP129,FP131,FP132,FP133,FP135,FP138,FP139,FP141,FP142,FP144,FP145,FP147,FP150,FP151,FP152,FP154,FP156,FP157,FP159,FP162,FP163,FP164
P20701_pIC50	FP37,FP42,FP53,FP57,FP62,FP74,FP75,FP77,FP79,FP80,FP82,FP83,FP85,FP86,FP87,FP91,FP96,FP97,FP98,FP100,FP103,FP106,FP112,FP115,FP120,FP121,FP122,FP128,FP129,FP132,FP133,FP135,FP137,FP138,FP146,FP147,FP148,FP149,FP152,FP153
P21397_pKi	FP25,FP37,FP38,FP43,FP46,FP52,FP57,FP59,FP62,FP64,FP65,FP72,FP77,FP78,FP79,FP80,FP81,FP84,FP85,FP88,FP89,FP93,FP94,FP97,FP98,FP100,FP106,FP109,FP113,FP114,FP119,FP120,FP124,FP125,FP126,FP127,FP132,FP142,FP143,FP150,FP152,FP157,FP158
P21452_pKi	FP30,FP37,FP49,FP52,FP57,FP62,FP74,FP90,FP97,FP102,FP104,FP105,FP113,FP126,FP127,FP128,FP129,FP132,FP133,FP135,FP139,FP143,FP146,FP150,FP152,FP155,FP157
P21453_pEC50	FP8,FP11,FP22,FP23,FP25,FP28,FP29,FP38,FP42,FP43,FP46,FP48,FP51,FP52,FP53,FP54,FP55,FP58,FP59,FP60,FP61,FP62,FP64,FP66,FP69,FP71,FP74,FP76,FP77,FP82,FP84,FP89,FP90,FP93,FP94,FP95,FP97,FP98,FP99,FP102,FP104,FP105,FP106,FP107,FP108,FP111,FP112,FP123,FP124,FP125,FP126,FP128,FP129,FP130,FP131,FP132,FP133,FP134,FP135,FP136,FP138,FP139,FP140,FP141,FP144,FP145,FP146,FP147,FP150,FP153,FP154,FP155,FP156,FP157,FP159,FP161,FP166
P21462_pIC50	FP38,FP43,FP50,FP53,FP54,FP66,FP72,FP76,FP92,FP95,FP96,FP99,FP100,FP110,FP114,FP117,FP137,FP141,FP153
P21554_pIC50	FP11,FP23,FP36,FP38,FP45,FP47,FP52,FP53,FP54,FP57,FP62,FP65,FP66,FP74,FP75,FP76,FP79,FP80,FP83,FP87,FP91,FP92,FP94,FP95,FP96,FP97,FP98,FP100,FP103,FP105,FP107,FP110,FP111,FP112,FP117,FP118,FP122,FP123,FP124,FP125,FP129,FP130,FP131,FP133,FP134,FP135,FP136,FP139,FP140,FP141,FP144,FP147,FP148,FP149,FP150,FP151,FP157,FP160
P21731_pKd	FP22,FP50,FP72,FP75,FP76,FP78,FP83,FP85,FP86,FP90,FP96,FP98,FP99,FP105,FP109,FP119,FP122,FP123,FP125,FP126,FP138,FP139,FP150,FP152,FP157
P22303_pIC50	FP17,FP21,FP22,FP23,FP25,FP28,FP36,FP38,FP41,FP42,FP46,FP47,FP49,FP50,FP52,FP56,FP59,FP62,FP63,FP65,FP66,FP75,FP76,FP77,FP78,FP79,FP80,FP81,FP82,FP83,FP84,FP85,FP87,FP88,FP90,FP91,FP95,FP96,FP97,FP98,FP99,FP100,FP101,FP104,FP105,FP106,FP107,FP108,FP109,FP110,FP111,FP112,FP116,FP117,FP118,FP119,FP120,FP121,FP122,FP123,FP125,FP128,FP129,FP133,FP134,FP135,FP137,FP138,FP139,FP140,FP142,FP144,FP145,FP146,FP147,FP148,FP150,FP151,FP153,FP154,FP155,FP156,FP158,FP161,FP162
P22460_pIC50	FP29,FP37,FP38,FP41,FP43,FP52,FP53,FP59,FP62,FP65,FP66,FP69,FP74,FP75,FP77,FP78,FP80,FP81,FP82,FP83,FP87,FP90,FP91,FP94,FP95,FP96,FP98,FP102,FP103,FP104,FP105,FP107,FP109,FP112,FP113,FP116,FP119,FP120,FP121,FP122,FP124,FP127,FP131,FP132,FP133,FP134,FP136,FP137,FP139,FP140,FP143,FP144,FP146,FP148,FP149,FP150,FP151,FP152,FP157,FP160
P22748_pKi	FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP32,FP33,FP34,FP35,FP36,FP37,FP38,FP39,FP40,FP42,FP43,FP45,FP47,FP50,FP51,FP52,FP53,FP54,FP55,FP56,FP57,FP58,FP59,FP60,FP61,FP62,FP64,FP66,FP67,FP68,FP69,FP71,FP74,FP75,FP76,FP78,FP79,FP80,FP81,FP82,FP83,FP84,FP85,FP86,FP87,FP89,FP90,FP91,FP92,FP94,FP95,FP96,FP97,FP98,FP99,FP100,FP101,FP103,FP104,FP105,FP107,FP108,FP109,FP110,FP111,FP114,FP115,FP116,FP117,FP118,FP119,FP120,FP121,FP122,FP123,FP125,FP126,FP128,FP129,FP131,FP132,FP133,FP135,FP136,FP137,FP138,FP139,FP140,FP141,FP142,FP144,FP147,FP149,FP150,FP151,FP153,FP154,FP155,FP156,FP158,FP160,FP161,FP166
P22894_pKi	FP24,FP28,FP36,FP47,FP49,FP52,FP53,FP54,FP57,FP65,FP66,FP68,FP71,FP72,FP79,FP80,FP81,FP83,FP84,FP86,FP89,FP90,FP91,FP92,FP95,FP96,FP97,FP100,FP104,FP105,FP108,FP110,FP111,FP119,FP120,FP121,FP122,FP125,FP128,FP129,FP130,FP132,FP137,FP138,FP139,FP140,FP142,FP145,FP153,FP154,FP155,FP158,FP160
P23141_pIC50	FP26,FP36,FP38,FP42,FP47,FP50,FP57,FP65,FP66,FP72,FP74,FP76,FP77,FP81,FP83,FP88,FP90,FP91,FP95,FP96,FP99,FP105,FP106,FP107,FP108,FP112,FP115,FP116,FP120,FP121,FP123,FP127,FP134,FP136,FP137,FP139,FP140,FP141,FP143,FP145,FP146,FP149,FP150,FP151,FP157,FP158,FP159,FP160,FP162,FP163,FP165
P23280_pKi	FP41,FP50,FP57,FP76,FP92,FP97,FP98,FP99,FP105,FP109,FP110,FP117,FP123,FP132,FP135,FP137,FP144,FP147,FP153,FP154,FP161
P23975_pKi	FP8,FP19,FP21,FP25,FP26,FP27,FP34,FP36,FP37,FP38,FP41,FP43,FP44,FP46,FP47,FP50,FP52,FP55,FP58,FP62,FP65,FP75,FP76,FP77,FP78,FP79,FP80,FP82,FP83,FP84,FP85,FP86,FP88,FP90,FP91,FP96,FP97,FP98,FP99,FP100,FP101,FP104,FP105,FP108,FP111,FP115,FP116,FP118,FP120,FP121,FP122,FP123,FP125,FP128,FP130,FP131,FP133,FP135,FP136,FP137,FP138,FP139,FP140,FP142,FP144,FP145,FP146,FP148,FP150,FP151,FP153,FP154,FP155,FP156,FP158,FP159,FP161
P24530_pKi	FP54,FP80,FP85,FP90,FP91,FP93,FP104,FP105,FP122,FP131,FP132,FP133,FP135,FP144,FP147,FP150,FP153,FP155
P24557_pIC50	FP19,FP52,FP57,FP65,FP69,FP72,FP75,FP82,FP86,FP90,FP91,FP93,FP98,FP99,FP100,FP104,FP105,FP109,FP111,FP113,FP114,FP115,FP116,FP118,FP121,FP123,FP125,FP127,FP131,FP133,FP137,FP138,FP139,FP142,FP143,FP144,FP145,FP147,FP151,FP153,FP154,FP157,FP159,FP161,FP162,FP163,FP164
P24941_pIC50	FP25,FP32,FP33,FP38,FP41,FP45,FP47,FP50,FP51,FP52,FP53,FP55,FP58,FP59,FP60,FP61,FP62,FP64,FP65,FP67,FP69,FP70,FP72,FP73,FP76,FP79,FP80,FP81,FP82,FP83,FP88,FP89,FP91,FP94,FP96,FP97,FP98,FP99,FP102,FP103,FP105,FP106,FP109,FP110,FP112,FP113,FP115,FP117,FP120,FP121,FP124,FP125,FP126,FP128,FP130,FP131,FP133,FP135,FP136,FP142,FP144,FP145,FP146,FP151,FP154,FP158,FP159,FP164
P25024_pIC50	FP18,FP41,FP44,FP62,FP64,FP69,FP83,FP86,FP89,FP92,FP96,FP104,FP105,FP114,FP122,FP125,FP139,FP145,FP151,FP160
P25025_pKi	FP25,FP38,FP52,FP53,FP62,FP69,FP77,FP80,FP84,FP88,FP89,FP94,FP98,FP100,FP114,FP123,FP124,FP126,FP129,FP133,FP135,FP136,FP139,FP140,FP150,FP153
P25090_pEC50	FP24,FP37,FP42,FP43,FP49,FP56,FP62,FP63,FP65,FP70,FP71,FP75,FP98,FP102,FP104,FP106,FP113,FP122,FP130,FP131,FP134,FP135,FP136,FP140,FP148,FP152
P25100_pKi	FP23,FP36,FP41,FP64,FP66,FP69,FP79,FP80,FP82,FP83,FP87,FP89,FP90,FP92,FP95,FP96,FP104,FP105,FP110,FP112,FP113,FP120,FP123,FP125,FP126,FP127,FP133,FP135,FP143,FP149,FP152,FP154
P25103_pKi	FP19,FP23,FP24,FP26,FP28,FP47,FP52,FP57,FP62,FP65,FP69,FP71,FP72,FP73,FP75,FP78,FP81,FP83,FP87,FP89,FP94,FP96,FP101,FP102,FP103,FP104,FP105,FP107,FP113,FP119,FP124,FP125,FP126,FP128,FP132,FP134,FP136,FP144,FP146,FP150,FP155,FP157,FP164
P25105_pIC50	FP19,FP36,FP45,FP47,FP52,FP65,FP76,FP79,FP80,FP83,FP87,FP90,FP91,FP94,FP96,FP99,FP104,FP108,FP120,FP124,FP135,FP138,FP150,FP151,FP154,FP155,FP158,FP160
P25116_pIC50	FP25,FP26,FP37,FP42,FP50,FP57,FP62,FP74,FP76,FP78,FP82,FP83,FP85,FP87,FP93,FP96,FP97,FP99,FP105,FP107,FP108,FP119,FP120,FP122,FP123,FP125,FP127,FP128,FP129,FP131,FP133,FP134,FP135,FP137,FP140,FP143,FP144,FP148,FP149,FP150,FP154,FP159
P25774_pKi	FP23,FP41,FP54,FP55,FP57,FP58,FP60,FP61,FP66,FP67,FP73,FP82,FP83,FP85,FP88,FP90,FP96,FP97,FP100,FP102,FP105,FP108,FP112,FP115,FP123,FP126,FP127,FP128,FP130,FP132,FP133,FP135,FP137,FP138,FP140,FP143,FP150,FP152,FP153,FP160
P25929_pIC50	FP38,FP42,FP43,FP45,FP54,FP74,FP77,FP79,FP80,FP82,FP86,FP91,FP92,FP96,FP97,FP100,FP105,FP106,FP115,FP116,FP118,FP120,FP123,FP128,FP129,FP131,FP138,FP140,FP141,FP146,FP147,FP149,FP157,FP160
P26010_pIC50	FP37,FP53,FP54,FP62,FP74,FP77,FP90,FP92,FP93,FP95,FP97,FP104,FP105,FP110,FP111,FP115,FP117,FP123,FP125,FP126,FP127,FP131,FP136,FP139,FP140,FP141,FP143,FP144,FP145,FP150,FP155,FP157,FP160,FP163
